iter	Passed	Remaining
286	48699	120984
287	48851	120772
288	49013	120583
289	49164	120369
290	49335	120202
291	49493	120004
292	49676	119867
293	49850	119707
294	49999	119489
295	50159	119298
296	50339	119154
297	50499	118961
298	50649	118746
299	50795	118523
300	50965	118355
301	51141	118201
302	51314	118040
303	51473	117847
304	51631	117652
305	51778	117432
306	51955	117279
307	52127	117118
308	52291	116936
309	52467	116782
310	52641	116624
311	52822	116479
312	52968	116260
313	53144	116106
314	53305	115919
315	53485	115773
316	53665	115626
317	53842	115474
318	54009	115299
319	54163	115098
320	54336	114936
321	54518	114794
322	54686	114622
323	54871	114484
324	55086	114409
325	55265	114260
326	55448	114118
327	55638	113991
328	55824	113854
329	55994	113684
330	56157	113502
331	56335	113350
332	56524	113218
333	56708	113078
334	56860	112872
335	57020	112684
336	57186	112507
337	57331	112288
338	57503	112122
339	57650	111910
340	57826	111752
341	58010	111610
342	58158	111399
343	58339	111252
344	58510	111085
345	58676	110908
346	58836	110721
347	58998	110537
348	59170	110372
349	59346	110215
350	59536	110082
351	59716	109933
352	59892	109775
353	60073	109624
354	60233	109438
355	60392	109249
356	60541	109041
357	60725	108898
358	60896	108731
359	61067	108564
360	61228	108379
361	61423	108254
362	61585	108072
363	61748	107890
364	61951	107778
365	62134	107632
366	62282	107425
367	62424	107207
368	62592	107035
369	62739	106826
370	62929	106691
371	63100	106524
372	63262	106341
373	63448	106199
374	63647	106078
375	63830	105931
376	63988	105743
377	64140	105543
378	64312	105377
379	64460	105171
380	64613	104975
381	64772	104789
382	64921	104586
383	65064	104373
384	65220	104183
385	65401	104031
386	65558	103844
387	65740	103694
388	65904	103515
389	66080	103356
390	66232	103159
391	66425	103027
392	66601	102867
393	66769	102695
394	66937	102524
395	67078	102311
396	67240	102131
397	67422	101980
398	67573	101784
399	67738	101607
400	67893	101417
401	68070	101258
402	68249	101103
403	68415	100930
404	68593	100772
405	68740	100571
406	68911	100404
407	69098	100260
408	69270	100094
409	69451	99943
410	69628	99783
411	69782	99592
412	69967	99444
413	70153	99299
414	70339	99153
415	70490	98957
416	70638	98758
417	70830	98620
418	70976	98418
419	71140	98241
420	71309	98071
421	71470	97891
422	71664	97755
423	71843	97598
424	71996	97407
425	72146	97211
426	72332	97063
427	72504	96898
428	72652	96700
429	72816	96524
430	72993	96364
431	73166	96200
432	73327	96020
433	73483	95833
434	73643	95651
435	73795	95460
436	73971	95299
437	74140	95130
438	74307	94958
439	74485	94800
440	74647	94621
441	74807	94440
442	74987	94284
443	75138	94092
444	75279	93887
445	75448	93718
446	75606	93535
447	75747	93332
448	75922	93169
449	76098	93009
450	76241	92808
451	76394	92620
452	76535	92416
453	76683	92222
454	76865	92069
455	77036	91903
456	77216	91747
457	77385	91578
458	77570	91428
459	77757	91280
460	77941	91129
461	78092	90938
462	78259	90767
463	78444	90616
464	78613	90447
465	78761	90254
466	78933	90088
467	79092	89908
468	79258	89736
469	79431	89571
470	79586	89386
471	79771	89236
472	79953	89081
473	80120	88909
474	80274	88724
475	80438	88549
476	80618	88393
477	80783	88219
478	80942	88039
479	81109	87868
480	81282	87703
481	81443	87526
482	81596	87340
483	81760	87165
484	81943	87011
485	82117	86848
486	82283	86676
487	82452	86507
488	82618	86335
489	82771	86150
490	82945	85986
491	83116	85819
492	83292	85658
493	83472	85500
494	83664	85354
495	83812	85164
496	83997	85011
497	84156	84832
498	84315	84653
499	84459	84459
500	84608	84270
501	84763	84088
502	84937	83924
503	85113	83762
504	85259	83570
505	85437	83411
506	85629	83264
507	85790	83088
508	85948	82909
509	86114	82737
510	86297	82581
511	86446	82394
512	86590	82201
513	86745	82020
514	86903	81841
515	87075	81675
516	87224	81487
517	87394	81320
518	87532	81123
519	87677	80932
520	87853	80770
521	88014	80596
522	88190	80433
523	88357	80263
524	88539	80106
525	88696	79928
526	88863	79758
527	89059	79613
528	89208	79428
529	89376	79258
530	89537	79082
531	89693	78903
532	89879	78749
533	90055	78587
534	90220	78416
535	90387	78246
536	90544	78067
537	90697	77885
538	90850	77703
539	91031	77544
540	91194	77371
541	91365	77205
542	91544	77045
543	91705	76871
544	91852	76684
545	92007	76504
546	92150	76315
547	92297	76128
548	92443	75942
549	92609	75771
550	92756	75585
551	92940	75429
552	93092	75248
553	93249	75070
554	93400	74888
555	93569	74721
556	93767	74576
557	93944	74415
558	94114	74247
559	94284	74081
560	94436	73899
561	94580	73712
562	94745	73541
563	94898	73361
564	95080	73203
565	95251	73037
566	95409	72861
567	95566	72684
568	95712	72499
569	95903	72347
570	96065	72175
571	96221	71997
572	96367	71812
573	96524	71636
574	96689	71465
575	96875	71311
576	97027	71131
577	97187	70956
578	97350	70784
579	97498	70602
580	97656	70427
581	97821	70256
582	97967	70072
583	98137	69906
584	98323	69750
585	98482	69576
586	98653	69410
587	98800	69227
588	98989	69074
589	99157	68906
590	99341	68749
591	99529	68594
592	99678	68413
593	99825	68230
594	100015	68077
595	100177	67905
596	100341	67734
597	100491	67554
598	100678	67399
599	100835	67223
600	101007	67058
601	101148	66872
602	101317	66704
603	101516	66557
604	101679	66385
605	101857	66223
606	102043	66067
607	102203	65894
608	102375	65728
609	102557	65569
610	102730	65404
611	102903	65239
612	103086	65080
613	103253	64912
614	103450	64761
615	103611	64589
616	103769	64414
617	103925	64238
618	104130	64093
619	104305	63929
620	104451	63747
621	104600	63567
622	104777	63404
623	104932	63228
624	105108	63064
625	105282	62900
626	105454	62734
627	105610	62559
628	105775	62389
629	105925	62210
630	106108	62050
631	106273	61880
632	106460	61723
633	106605	61541
634	106793	61384
635	106947	61208
636	107094	61028
637	107290	60876
638	107469	60714
639	107667	60563
640	107865	60411
641	108020	60235
642	108178	60062
643	108338	59888
644	108508	59721
645	108688	59559
646	108833	59379
647	108994	59207
648	109173	59044
649	109346	58878
650	109505	58705
651	109651	58525
652	109811	58353
653	109970	58180
654	110133	58009
655	110323	57852
656	110531	57705
657	110715	57545
658	110867	57368
659	111012	57188
660	111170	57014
661	111318	56836
662	111467	56658
663	111619	56482
664	111772	56306
665	111937	56136
666	112091	55961
667	112281	55804
668	112474	55648
669	112658	55488
670	112803	55308
671	112956	55133
672	113123	54964
673	113298	54800
674	113485	54641
675	113656	54474
676	113801	54295
677	113957	54121
678	114134	53957
679	114287	53782
680	114437	53605
681	114622	53445
682	114793	53278
683	114968	53114
684	115122	52939
685	115288	52770
686	115448	52598
687	115628	52436
688	115793	52266
689	115960	52098
690	116155	51942
691	116306	51766
692	116477	51599
693	116668	51441
694	116829	51270
695	117033	51117
696	117209	50953
697	117378	50785
698	117558	50622
699	117746	50462
700	117919	50296
701	118079	50124
702	118224	49946
703	118375	49771
704	118558	49609
705	118702	49431
706	118857	49257
707	119017	49086
708	119167	48910
709	119346	48747
710	119496	48571
711	119675	48408
712	119854	48244
713	120029	48079
714	120193	47909
715	120360	47740
716	120535	47575
717	120705	47408
718	120858	47233
719	121052	47075
720	121226	46909
721	121373	46733
722	121528	46560
723	121700	46394
724	121858	46222
725	122042	46060
726	122190	45884
727	122366	45719
728	122528	45549
729	122703	45383
730	122859	45210
731	123009	45036
732	123159	44861
733	123334	44696
734	123513	44532
735	123687	44366
736	123835	44191
737	123998	44021
738	124155	43849
739	124303	43674
740	124487	43511
741	124658	43344
742	124808	43170
743	124953	42994
744	125102	42820
745	125249	42645
746	125394	42469
747	125553	42298
748	125707	42126
749	125882	41960
750	126046	41791
751	126217	41624
752	126401	41462
753	126581	41298
754	126726	41123
755	126885	40952
756	127058	40786
757	127226	40618
758	127405	40454
759	127577	40287
760	127746	40120
761	127913	39951
762	128062	39778
763	128232	39611
764	128393	39441
765	128564	39274
766	128744	39110
767	128921	38945
768	129068	38770
769	129245	38605
770	129394	38432
771	129561	38264
772	129729	38096
773	129910	37932
774	130060	37759
775	130225	37590
776	130390	37422
777	130567	37257
778	130720	37085
779	130909	36923
780	131062	36751
781	131228	36582
782	131384	36411
783	131537	36239
784	131705	36072
785	131881	35906
786	132039	35736
787	132196	35565
788	132348	35393
789	132508	35223
790	132656	35050
791	132804	34878
792	132963	34707
793	133115	34536
794	133283	34368
795	133436	34197
796	133596	34027
797	133762	33859
798	133945	33695
799	134099	33524
800	134252	33353
801	134403	33181
802	134558	33011
803	134703	32838
804	134888	32674
805	135051	32506
806	135201	32334
807	135356	32163
808	135507	31992
809	135681	31826
810	135828	31654
811	135986	31484
812	136147	31315
813	136292	31143
814	136481	30980
815	136640	30811
816	136785	30638
817	136936	30467
818	137095	30298
819	137238	30125
820	137388	29954
821	137570	29790
822	137733	29621
823	137888	29452
824	138033	29279
825	138184	29109
826	138342	28939
827	138509	28772
828	138661	28602
829	138816	28432
830	138980	28264
831	139131	28093
832	139310	27929
833	139461	27758
834	139629	27591
835	139795	27423
836	139947	27253
837	140093	27082
838	140271	26917
839	140440	26750
840	140591	26580
841	140746	26410
842	140929	26246
843	141090	26078
844	141244	25908
845	141392	25738
846	141564	25571
847	141738	25405
848	141912	25239
849	142075	25072
850	142235	24903
851	142391	24734
852	142541	24564
853	142691	24394
854	142854	24226
855	143007	24057
856	143184	23892
857	143356	23725
858	143513	23556
859	143693	23392
860	143884	23228
861	144031	23058
862	144180	22888
863	144351	22721
864	144506	22553
865	144693	22388
866	144844	22219
867	145032	22055
868	145183	21886
869	145339	21717
870	145519	21552
871	145671	21382
872	145818	21213
873	145993	21047
874	146154	20879
875	146317	20711
876	146497	20546
877	146659	20378
878	146808	20209
879	146979	20042
880	147144	19875
881	147320	19709
882	147471	19540
883	147642	19373
884	147822	19208
885	148006	19043
886	148159	18874
887	148337	18709
888	148525	18544
889	148682	18376
890	148837	18207
891	148989	18039
892	149140	17870
893	149309	17703
894	149460	17534
895	149626	17367
896	149803	17201
897	149951	17032
898	150097	16862
899	150239	16693
900	150383	16523
901	150533	16355
902	150672	16185
903	150847	16019
904	150996	15850
905	151154	15682
906	151335	15517
907	151499	15350
908	151655	15182
909	151811	15014
910	151974	14847
911	152118	14678
912	152306	14513
913	152457	14345
914	152603	14176
915	152789	14011
916	152936	13842
917	153118	13677
918	153278	13509
919	153437	13342
920	153607	13175
921	153754	13007
922	153940	12842
923	154115	12676
924	154266	12508
925	154431	12341
926	154584	12173
927	154781	12008
928	154931	11840
929	155088	11673
930	155242	11505
931	155391	11337
932	155531	11168
933	155688	11001
934	155839	10833
935	156008	10667
936	156162	10499
937	156358	10335
938	156519	10167
939	156697	10001
940	156849	9834
941	156998	9666
942	157162	9499
943	157352	9334
944	157512	9167
945	157686	9001
946	157869	8835
947	158021	8667
948	158167	8500
949	158358	8334
950	158510	8167
951	158656	7999
952	158832	7833
953	158988	7666
954	159163	7499
955	159334	7333
956	159495	7166
957	159661	6999
958	159821	6832
959	159970	6665
960	160154	6499
961	160308	6332
962	160462	6165
963	160617	5998
964	160771	5831
965	160919	5663
966	161125	5498
967	161309	5332
968	161474	5165
969	161652	4999
970	161822	4832
971	161989	4666
972	162157	4499
973	162322	4333
974	162497	4166
975	162677	4000
976	162840	3833
977	163001	3666
978	163155	3499
979	163343	3333
980	163498	3166
981	163683	3000
982	163843	2833
983	164013	2666
984	164178	2500
985	164332	2333
986	164511	2166
987	164692	2000
988	164854	1833
989	165019	1666
990	165178	1500
991	165351	1333
992	165503	1166
993	165668	1000
994	165838	833
995	166016	666
996	166175	500
997	166360	333
998	166526	166
999	166698	0
