iter	RMSE
137	71677.45734
138	71664.18169
139	71652.32339
140	71643.93166
141	71629.39938
142	71610.85951
143	71598.22594
144	71585.88878
145	71573.74504
146	71560.55349
147	71553.63977
148	71540.52652
149	71535.70155
150	71525.93857
151	71507.84112
152	71503.16736
153	71487.51547
154	71479.43243
155	71463.51253
156	71453.77306
157	71443.19166
158	71425.08669
159	71412.90532
160	71401.72928
161	71390.02563
162	71379.93656
163	71369.25618
164	71359.94102
165	71355.10681
166	71333.41841
167	71324.0223
168	71309.0127
169	71296.64574
170	71281.81182
171	71259.24863
172	71245.0042
173	71235.0589
174	71218.47207
175	71197.96698
176	71193.39224
177	71170.37656
178	71160.77926
179	71150.16251
180	71145.19653
181	71134.83071
182	71124.0507
183	71108.33645
184	71092.1327
185	71077.98114
186	71073.33774
187	71061.94891
188	71052.08042
189	71048.58667
190	71045.43508
191	71040.89481
192	71036.1257
193	71021.46183
194	71018.09504
195	71013.69502
196	71006.54404
197	70999.76458
198	70989.4714
199	70980.41871
200	70977.4312
201	70974.60274
202	70962.91843
203	70960.23688
204	70956.42285
205	70953.98753
206	70928.34999
207	70913.6717
208	70898.79828
209	70895.82482
210	70876.7367
211	70862.69762
212	70848.40587
213	70846.092
214	70843.89602
215	70837.76731
216	70826.89133
217	70818.41715
218	70814.34247
219	70801.62431
220	70791.17777
221	70776.58526
222	70772.25839
223	70768.97991
224	70767.06907
225	70759.60121
226	70749.49429
227	70726.96502
228	70717.07677
229	70705.14318
230	70694.27646
231	70685.29692
232	70667.11891
233	70659.22931
234	70651.28772
235	70640.00732
236	70622.71134
237	70606.1057
238	70599.22239
239	70591.23836
240	70556.53484
241	70552.75008
242	70534.65519
243	70532.92743
244	70530.41348
245	70523.15198
246	70502.37346
247	70487.41683
248	70479.36046
249	70466.50281
250	70451.32289
251	70430.99862
252	70417.00383
253	70409.17649
254	70398.3264
255	70391.67665
256	70377.823
257	70365.68759
258	70355.49921
259	70351.87401
260	70338.27372
261	70318.14542
262	70292.90502
263	70275.19498
264	70269.29917
265	70263.87853
266	70253.8725
267	70249.46331
268	70232.05868
269	70218.66971
270	70203.1624
271	70193.94632
272	70188.99328
273	70179.29603
274	70177.67407
275	70167.39924
276	70138.9476
277	70125.91602
278	70122.06044
279	70117.80936
280	70101.65234
281	70097.81674
282	70085.17503
283	70083.20011
284	70081.73257
285	70068.93223
286	70060.36975
287	70056.23886
288	70043.0176
289	70034.87245
290	70015.03666
291	70006.44673
292	69998.40699
293	69991.40561
294	69984.01632
295	69976.2132
296	69969.50107
297	69962.44673
298	69955.32913
299	69943.69101
300	69937.43827
301	69932.81813
302	69923.15294
303	69918.54179
304	69904.6882
305	69896.11019
306	69891.33338
307	69885.51855
308	69879.54455
309	69878.06052
310	69873.13325
311	69871.72225
312	69856.38092
313	69846.72989
314	69825.7567
315	69820.70308
316	69815.7314
317	69807.37844
318	69801.17748
319	69786.91367
320	69767.23986
321	69756.7934
322	69750.22062
323	69735.4491
324	69730.60156
325	69726.36803
326	69721.98223
327	69713.10119
328	69708.23672
329	69694.0827
330	69688.85058
331	69679.42184
332	69676.34403
333	69668.39604
334	69641.49302
335	69637.37208
336	69630.69939
337	69629.41926
338	69617.26341
339	69604.38084
340	69592.74412
341	69587.018
342	69583.94156
343	69559.45731
344	69557.51128
345	69552.45484
346	69550.9143
347	69549.46439
348	69536.59942
349	69532.35961
350	69521.61323
351	69509.10481
352	69505.34461
353	69503.96973
354	69502.67418
355	69501.45239
356	69494.26916
357	69489.56676
358	69471.18422
359	69460.86979
360	69450.40329
361	69442.24625
362	69429.33748
363	69419.16652
364	69414.23443
365	69410.61959
366	69394.79622
367	69376.25394
368	69372.37861
369	69364.46448
370	69358.68256
371	69341.87001
372	69326.40215
373	69318.35158
374	69314.77118
375	69311.50621
376	69293.40088
377	69286.83191
378	69279.04487
379	69268.47369
380	69257.82273
381	69247.98682
382	69235.71048
383	69223.38467
384	69213.75762
385	69203.97179
386	69197.97307
387	69192.63673
388	69168.5544
389	69158.36404
390	69149.47755
391	69144.56957
392	69143.37581
393	69137.88646
394	69134.35924
395	69126.09482
396	69118.66081
397	69105.64441
398	69095.61053
399	69083.94044
400	69066.28324
401	69051.45344
402	69044.65031
403	69043.479
404	69026.68496
405	69019.66878
406	69016.67352
407	69004.10386
408	68987.91806
409	68978.22342
410	68976.26869
411	68963.86228
412	68956.76838
413	68949.89639
414	68942.57216
415	68941.55861
416	68933.29765
417	68922.45516
418	68918.02353
419	68910.85085
420	68896.32283
421	68887.34562
422	68880.8962
423	68854.91747
424	68851.24804
425	68839.44706
426	68824.4904
427	68807.7781
428	68804.00645
429	68797.61771
430	68783.17413
431	68777.10832
432	68775.00327
433	68758.72183
434	68756.58764
435	68753.33625
436	68750.05016
437	68747.27477
438	68739.78636
439	68738.85205
440	68723.81922
441	68713.17434
442	68701.56435
443	68697.30897
444	68674.87053
445	68664.33255
446	68653.09524
447	68646.49137
448	68632.86527
449	68625.8018
450	68621.16426
451	68610.31631
452	68608.48879
453	68594.691
454	68584.16785
455	68581.19285
456	68574.17442
457	68571.65019
458	68564.92807
459	68559.27698
460	68553.81142
461	68521.79139
462	68518.05845
463	68516.42661
464	68506.20454
465	68498.85586
466	68497.57434
467	68492.1414
468	68481.94092
469	68470.89289
470	68470.05853
471	68463.66888
472	68453.65518
473	68446.375
474	68442.8637
475	68437.03153
476	68427.35091
477	68417.6332
478	68406.74962
479	68397.92287
480	68390.7082
481	68387.36831
482	68378.08441
483	68374.87427
484	68365.34503
485	68358.56919
486	68342.4389
487	68333.37897
488	68317.88314
489	68315.16543
490	68308.83784
491	68306.25097
492	68299.18883
493	68284.6769
494	68281.70114
495	68267.26169
496	68261.6497
497	68258.79233
498	68256.45752
499	68249.23369
500	68248.31191
501	68219.4486
502	68213.90687
503	68213.18001
504	68209.28435
505	68206.8762
506	68191.34302
507	68185.4355
508	68172.63019
509	68171.8822
510	68171.1726
511	68170.49902
512	68168.74547
513	68152.52679
514	68143.18942
515	68134.35892
516	68133.7482
517	68133.16787
518	68127.56998
519	68122.4964
520	68120.51746
521	68114.954
522	68109.58366
523	68092.103
524	68090.80222
525	68090.31165
526	68085.42043
527	68078.17026
528	68071.81615
529	68063.11389
530	68046.54997
531	68041.94234
532	68037.42335
533	68011.72876
534	68009.40889
535	68003.81192
536	68000.8302
537	67994.09429
538	67989.50094
539	67973.79209
540	67958.38126
541	67951.74538
542	67942.78165
543	67930.72465
544	67922.90822
545	67921.28152
546	67915.09472
547	67898.28917
548	67892.08778
549	67889.52965
550	67884.44223
551	67880.97723
552	67873.70769
553	67856.76234
554	67850.33581
555	67849.18666
556	67847.69693
557	67837.23638
558	67827.3111
559	67811.96854
560	67798.2052
561	67794.44245
562	67786.97056
563	67772.47201
564	67766.87354
565	67759.57814
566	67755.61873
567	67736.13015
568	67732.81993
569	67725.55701
570	67712.60438
571	67705.10746
572	67696.5487
573	67690.3073
574	67681.39257
575	67668.07246
576	67651.79104
577	67644.72767
578	67641.83344
579	67633.2116
580	67622.18681
581	67606.53082
582	67598.71442
583	67592.22796
584	67576.84377
585	67572.12758
586	67562.52656
587	67551.26433
588	67543.91611
589	67539.82968
590	67537.78955
591	67530.18238
592	67523.60705
593	67520.65724
594	67515.82215
595	67491.17443
596	67485.57503
597	67460.20924
598	67455.7533
599	67452.61257
600	67450.69106
601	67417.56752
602	67415.12142
603	67410.4494
604	67402.59861
605	67400.74365
606	67398.4785
607	67380.33259
608	67372.48361
609	67362.33899
610	67358.73604
611	67356.67988
612	67345.01294
613	67341.8078
614	67331.25346
615	67318.79851
616	67316.91357
617	67308.12665
618	67295.31404
619	67289.89736
620	67285.81778
621	67277.69705
622	67263.59375
623	67262.74126
624	67258.69621
625	67252.17789
626	67245.4959
627	67240.9879
628	67239.1958
629	67236.6486
630	67232.51176
631	67218.82224
632	67193.83451
633	67192.29121
634	67183.32792
635	67173.36584
636	67166.20219
637	67159.67572
638	67154.807
639	67143.12155
640	67135.80119
641	67121.16038
642	67110.73751
643	67102.59491
644	67098.2196
645	67093.83883
646	67092.91919
647	67085.06393
648	67076.40784
649	67071.03232
650	67066.33067
651	67055.88578
652	67051.91313
653	67045.08195
654	67041.97061
655	67035.14884
656	67031.91064
657	67030.17546
658	67021.06785
659	67012.15438
660	66999.84675
661	66993.02813
662	66989.81868
663	66983.14738
664	66976.97115
665	66974.42751
666	66965.52144
667	66959.00507
668	66955.26671
669	66950.12822
670	66941.39655
671	66935.56932
672	66933.2066
673	66925.65902
674	66914.00487
675	66906.32151
676	66904.30163
677	66892.68182
678	66876.03786
679	66873.12085
680	66867.02337
681	66862.66754
682	66834.90467
683	66818.97267
684	66808.80444
685	66802.22537
686	66790.4654
687	66787.9953
688	66780.52243
689	66778.64853
690	66773.30729
691	66765.11269
692	66745.4092
693	66739.00076
694	66734.87121
695	66731.67014
696	66721.62783
697	66720.9269
698	66711.76514
699	66708.28996
700	66704.72009
701	66697.36329
702	66691.4143
703	66688.58401
704	66686.68982
705	66667.1358
706	66655.56992
707	66653.9801
708	66649.93663
709	66644.1673
710	66630.19384
711	66628.02097
712	66623.19383
713	66618.87153
714	66612.73112
715	66598.982
716	66597.51466
717	66584.51283
718	66574.86359
719	66571.75758
720	66570.0634
721	66563.75318
722	66561.85756
723	66557.29611
724	66555.72985
725	66551.75721
726	66548.91046
727	66544.06664
728	66531.87409
729	66529.77909
730	66525.49112
731	66521.22058
732	66505.2223
733	66496.82161
734	66491.51796
735	66485.31427
736	66466.47697
737	66461.15436
738	66459.7426
739	66455.21714
740	66451.54026
741	66449.54302
742	66442.13465
743	66418.16887
744	66413.83412
745	66411.51403
746	66397.50402
747	66391.61986
748	66376.77432
749	66373.62514
750	66372.08085
751	66366.6424
752	66365.23167
753	66350.72606
754	66336.00641
755	66327.96418
756	66325.25987
757	66312.12788
758	66306.94
759	66299.20465
760	66293.02105
761	66289.27527
762	66281.52216
763	66268.21442
764	66254.3394
765	66243.13764
766	66237.82313
767	66233.1523
768	66228.53486
769	66227.40243
770	66212.06269
771	66207.53981
772	66192.88478
773	66189.15039
774	66187.78966
775	66182.09991
776	66179.93084
777	66173.20358
778	66165.54226
779	66153.14939
780	66149.33748
781	66143.04888
782	66138.57515
783	66121.79601
784	66116.94188
785	66113.16955
786	66087.96615
787	66080.92372
788	66077.06234
789	66054.54137
790	66044.18493
791	66038.15562
792	66031.57574
793	66023.56901
794	66021.1142
795	66015.33919
796	66011.68253
797	66002.73372
798	66001.5144
799	65994.44144
800	65990.7585
801	65981.00245
802	65974.49498
803	65966.68418
804	65961.71484
805	65953.92069
806	65938.32554
807	65930.83054
808	65924.40098
809	65920.05949
810	65912.0813
811	65909.08421
812	65903.30522
813	65901.90715
814	65897.82028
815	65883.25763
816	65882.02729
817	65879.28367
818	65874.00136
819	65869.15999
820	65868.38635
821	65864.49702
822	65858.82724
823	65855.47125
824	65853.17368
825	65848.95811
826	65837.69086
827	65833.38796
828	65826.13125
829	65821.21408
830	65812.26486
831	65805.00333
832	65801.81111
833	65796.14981
834	65787.93112
835	65778.30396
836	65764.69105
837	65763.54744
838	65762.69879
839	65759.65785
840	65754.65009
841	65748.41482
842	65741.49746
843	65736.99873
844	65736.00759
845	65734.63389
846	65731.74266
847	65729.71093
848	65728.19383
849	65724.63779
850	65719.76276
851	65715.43791
852	65705.23774
853	65703.81045
854	65702.45784
855	65701.17505
856	65700.49753
857	65693.28498
858	65691.84693
859	65680.79205
860	65679.95869
861	65678.48733
862	65675.62279
863	65671.48953
864	65668.96652
865	65657.31598
866	65648.84719
867	65642.88819
868	65638.96901
869	65636.47135
870	65631.68836
871	65627.62663
872	65624.32145
873	65618.63051
874	65613.23589
875	65608.59558
876	65604.92464
877	65581.94643
878	65578.90367
879	65576.10371
880	65573.81096
881	65571.92452
882	65556.02947
883	65550.51036
884	65548.83461
885	65545.23676
886	65539.74753
887	65526.27189
888	65515.23319
889	65504.43979
890	65495.43827
891	65489.58388
892	65476.53335
893	65472.3534
894	65470.99311
895	65463.5009
896	65460.74346
897	65457.09697
898	65448.36854
899	65445.85891
900	65440.01997
901	65434.46585
902	65421.52909
903	65418.80831
904	65409.56054
905	65403.60813
906	65400.56708
907	65385.56937
908	65384.63293
909	65372.13376
910	65365.41267
911	65358.12643
912	65357.10467
913	65354.36355
914	65353.0879
915	65348.6216
916	65343.48895
917	65342.27726
918	65330.60186
919	65324.38278
920	65312.51222
921	65308.54691
922	65306.03859
923	65271.604
924	65269.78134
925	65249.57987
926	65244.8674
927	65243.71242
928	65242.57657
929	65236.1642
930	65230.61964
931	65226.70128
932	65222.14419
933	65212.37831
934	65207.83681
935	65205.89773
936	65201.16228
937	65196.62424
938	65191.7622
939	65185.38905
940	65182.76017
941	65179.04612
942	65166.25096
943	65163.36717
944	65159.83995
945	65144.51169
946	65138.1747
947	65121.66988
948	65114.49802
949	65111.59161
950	65099.05841
951	65096.82946
952	65093.45675
953	65091.80689
954	65082.50304
955	65071.39387
956	65067.44645
957	65051.99104
958	65048.7794
959	65048.38894
960	65037.7543
961	65031.96431
962	65031.43983
963	65025.72961
964	65020.80917
965	65018.30358
966	65017.11316
967	65010.61785
968	64995.90395
969	64994.23704
970	64992.04273
971	64983.69256
972	64982.33827
973	64973.57848
974	64965.84736
975	64959.33097
976	64953.52101
977	64952.01204
978	64947.06721
979	64934.80885
980	64924.30874
981	64916.02373
982	64915.27034
983	64912.24032
984	64911.79339
985	64908.87209
986	64907.44485
987	64899.01523
988	64894.74568
989	64893.39296
990	64884.56979
991	64880.2162
992	64869.24509
993	64861.86441
994	64859.67583
995	64848.42995
996	64842.97316
997	64829.16446
998	64825.28741
999	64823.98805
